"id","name","category","aliases","geometry_type","geometry_wkt","confidence"
"sfax_sfax_el_jadida","Sfax El Jadida","district","Sfax Jadida|صفاقس الجديدة|Centre urbain nord","POLYGON","POLYGON ((10.7520 34.7460, 10.7700 34.7460, 10.7710 34.7580, 10.7520 34.7580, 10.7520 34.7460))","seed_approx"
"sfax_bab_bhar","Bab Bhar","landmark","باب بحر|Bab El Bhar|Centre Ville|Medina Sfax","POINT","POINT (10.7600 34.7405)","seed_approx"
"sfax_bab_jebli","Bab Jebli","landmark","باب الجبلي|Bab Djebli|Medina Sfax","POINT","POINT (10.7580 34.7445)","seed_approx"
"sfax_bab_diwan","Bab Diwan","landmark","باب الديوان|Bab Diouane|Medina Sfax","POINT","POINT (10.7590 34.7375)","seed_approx"
"sfax_medina","Médina de Sfax","district","Medina Sfax|المدينة العتيقة|Centre historique","POLYGON","POLYGON ((10.7545 34.7365, 10.7635 34.7365, 10.7640 34.7445, 10.7550 34.7450, 10.7545 34.7365))","seed_approx"
"sfax_corniche","Corniche Sfax","road","La Corniche|Corniche|كورنيش صفاقس","LINESTRING","LINESTRING (10.7650 34.7350, 10.7750 34.7450, 10.7850 34.7550, 10.7950 34.7650)","seed_approx"
"sfax_taparura","Taparura","district","Taparura Sfax|تبارورة|Zone Taparura","POLYGON","POLYGON ((10.7700 34.7440, 10.7950 34.7480, 10.8000 34.7650, 10.7750 34.7640, 10.7700 34.7440))","seed_approx"
"sfax_enis","ENIS","landmark","Ecole Nationale d'Ingenieurs de Sfax|École Nationale d’Ingénieurs de Sfax|المدرسة الوطنية للمهندسين بصفاقس","POINT","POINT (10.7160 34.7250)","seed_approx"
"sfax_chu_habib_bourguiba","CHU Habib Bourguiba","landmark","Hôpital Habib Bourguiba|CHU Sfax|مستشفى الحبيب بورقيبة","POINT","POINT (10.7520 34.7350)","seed_approx"
"sfax_chu_hedi_chaker","CHU Hédi Chaker","landmark","Hôpital Hedi Chaker|مستشفى الهادي شاكر","POINT","POINT (10.7470 34.7410)","seed_approx"
"sfax_gare","Gare de Sfax","landmark","Station train Sfax|Gare SNCFT|محطة القطار صفاقس","POINT","POINT (10.7605 34.7350)","seed_approx"
"sfax_station_louage","Station Louage Sfax","landmark","Louage Sfax|محطة اللواج صفاقس","POINT","POINT (10.7480 34.7350)","seed_approx"
"sfax_sakiet_ezzit","Sakiet Ezzit","district","Sakiet Ezzit|ساقية الزيت","POLYGON","POLYGON ((10.7200 34.7850, 10.7700 34.7850, 10.7800 34.8300, 10.7250 34.8350, 10.7200 34.7850))","seed_approx"
"sfax_sakiet_eddaier","Sakiet Eddaier","district","Sakiet Eddaier|ساقية الدائر","POLYGON","POLYGON ((10.7650 34.7800, 10.8250 34.7850, 10.8350 34.8350, 10.7750 34.8350, 10.7650 34.7800))","seed_approx"
"sfax_chihia","Chihia","district","Chihya|شيحية","POLYGON","POLYGON ((10.6850 34.7700, 10.7300 34.7700, 10.7350 34.8150, 10.6900 34.8200, 10.6850 34.7700))","seed_approx"
"sfax_thyna","Thyna","district","Thyna|Tina|طينة","POLYGON","POLYGON ((10.6800 34.6100, 10.7600 34.6100, 10.7700 34.6750, 10.6900 34.6800, 10.6800 34.6100))","seed_approx"
"sfax_gremda","Gremda","district","Gremda|قرمدة","POLYGON","POLYGON ((10.6600 34.6700, 10.7250 34.6750, 10.7300 34.7250, 10.6650 34.7250, 10.6600 34.6700))","seed_approx"
"sfax_el_ain","El Ain","district","El Aïn|العين","POLYGON","POLYGON ((10.6500 34.6750, 10.7050 34.6750, 10.7100 34.7250, 10.6550 34.7300, 10.6500 34.6750))","seed_approx"
